Age,Income,CreditScore,Loan_Status
22,25000,580,Rejected
35,45000,720,Approved
28,32000,650,Approved
19,18000,500,Rejected
42,60000,780,Approved
31,29000,610,Rejected
27,35000,690,Approved
45,70000,800,Approved
23,27000,590,Rejected
38,52000,710,Approved
50,85000,790,Approved
29,33000,640,Approved
21,22000,560,Rejected
40,58000,750,Approved
33,41000,680,Approved
24,26000,570,Rejected
48,90000,810,Approved
26,31000,620,Approved
37,49000,700,Approved
20,20000,540,Rejected
44,65000,760,Approved
30,34000,660,Approved
25,28000,600,Rejected
39,55000,730,Approved
36,47000,690,Approved
18,15000,480,Rejected
41,62000,740,Approved
32,38000,670,Approved
27,29000,610,Rejected
46,78000,800,Approved
34,43000,700,Approved
23,24000,550,Rejected
52,95000,820,Approved
28,36000,680,Approved
22,21000,530,Rejected
43,68000,770,Approved
31,40000,690,Approved
26,27000,590,Rejected
49,88000,810,Approved
35,46000,710,Approved
24,25000,580,Rejected
38,54000,730,Approved
29,37000,660,Approved
21,19000,520,Rejected
47,76000,790,Approved
33,42000,700,Approved
20,17000,500,Rejected
40,59000,740,Approved
36,48000,710,Approved
25,30000,630,Approved
